48.86|4593|1|Action
101.27|125156|1|Adult
42.04|5135|0|Adventure
19.95|1248|0|Animation
53.64|2112|1|Biography
38.69|5460|0|Comedy
55.51|4593|1|Crime
46.39|51420|0|Documentary
50.82|59460|0|Drama
33.81|5220|0|Family
36.74|4479|1|Fantasy
83.75|135|51|Film-Noir
42.05|1773|1|Game-Show
58.14|4479|1|History
43.22|5135|1|Horror
36.62|5760|1|Music
60.5|3600|1|Musical
49.52|5460|1|Mystery
51.16|3450|1|News
37.25|5760|1|Reality-TV
51.98|1800|1|Romance
36.35|1440|1|Sci-Fi
12.76|719|0|Short
63.51|3300|1|Sport
56.2|2565|1|Talk-Show
58.65|1200|1|Thriller
69.33|4479|1|War
50.24|4980|1|Western
