12 Monkeys
12 Years a Slave
127 Hours
13 Assassins
21 Grams
25th Hour
28 Days Later...
3 Idiots
300
3:10 to Yuma
4 Months, 3 Weeks and 2 Days
42
50/50
500 Days of Summer
A Beautiful Mind
A Bronx Tale
A Few Good Men
A Monster Calls
A Perfect World
A Prophet
A Quiet Place
A Separation
A Simple Plan
A Single Man
A Star Is Born
A Time to Kill
A Very Long Engagement
A Wednesday
About Time
Adaptation.
Aladdin
All About My Mother
Almost Famous
American Beauty
American Gangster
American History X
American Psycho
Amores Perros
Amour
Amélie
Andhadhun
Apocalypto
Apollo 13
Argo
Army of Darkness
Arrival
As Good as It Gets
Atonement
August Rush
Avatar
Avengers: Infinity War
Awakenings
Baahubali 2: The Conclusion
Baahubali: The Beginning
Baby Driver
Bajrangi Bhaijaan
Barfi!
Barton Fink
Batman Begins
Battle Royale
Beasts of No Nation
Beauty and the Beast
Before Midnight
Before Sunrise
Before Sunset
Being John Malkovich
Bhaag Milkha Bhaag
Big Fish
Big Hero 6
Billy Elliot
Birdman or (The Unexpected Virtue of Ignorance)
Biutiful
BlacKkKlansman
Black Book
Black Hawk Down
Black Swan
Blackfish
Blade Runner 2049
Blood Diamond
Blow
Blue Is the Warmest Color
Bohemian Rhapsody
Boogie Nights
Bowling for Columbine
Boyhood
Boys Don't Cry
Boyz n the Hood
Braveheart
Breaking the Waves
Bridge of Spies
Brokeback Mountain
Brooklyn
Call Me by Your Name
Captain America: Civil War
Captain America: The Winter Soldier
Captain Fantastic
Captain Phillips
Carlito's Way
Casino
Casino Royale
Cast Away
Catch Me If You Can
Cell 211
Chak de! India
Changeling
Chaplin
Children of Heaven
Children of Men
Chungking Express
Cinderella Man
City of God
Clerks
Coco
Collateral
Control
Coraline
Crash
Creed
Crouching Tiger, Hidden Dragon
Dallas Buyers Club
Dancer in the Dark
Dances with Wolves
Dangal
Dark City
Dawn of the Planet of the Apes
Dazed and Confused
Dead Alive
Dead Man
Dead Man Walking
Deadpool
Deadpool 2
Delicatessen
Despicable Me
Detachment
Die Hard with a Vengeance
Dil Chahta Hai
Dilwale Dulhania Le Jayenge
Disconnect
District 9
Django Unchained
Doctor Strange
Dogville
Donnie Brasco
Donnie Darko
Doubt
Downfall
Drishyam
Drive
Dunkirk
Eastern Promises
Ed Wood
Edge of Tomorrow
Edward Scissorhands
Elite Squad
Elite Squad: The Enemy Within
End of Watch
Enemy at the Gates
Eternal Sunshine of the Spotless Mind
Ex Machina
Exit Through the Gift Shop
Fahrenheit 9/11
Falling Down
Fantastic Mr. Fox
Fargo
Fear and Loathing in Las Vegas
Fearless
Fight Club
Finding Nemo
Finding Neverland
Flipped
Following
Forrest Gump
Freedom Writers
Fried Green Tomatoes
Frost/Nixon
Frozen
Fruitvale Station
Funny Games
Fury
G.O.R.A.
Gangs of New York
Gangs of Wasseypur
Gattaca
Get Out
Ghost Dog: The Way of the Samurai
Ghost in the Shell
Gifted
Gladiator
Glengarry Glen Ross
Gone Baby Gone
Gone Girl
Good Bye Lenin!
Good Will Hunting
Goodfellas
Gran Torino
Gravity
Green Book
Green Street Hooligans
Grindhouse
Groundhog Day
Guardians of the Galaxy
Guardians of the Galaxy Vol. 2
Hachi: A Dog's Tale
Hacksaw Ridge
Happiness
Harry Potter and the Deathly Hallows: Part 1
Harry Potter and the Deathly Hallows: Part 2
Harry Potter and the Goblet of Fire
Harry Potter and the Half-Blood Prince
Harry Potter and the Order of the Phoenix
Harry Potter and the Prisoner of Azkaban
Harry Potter and the Sorcerer's Stone
Headhunters
Heat
Hell or High Water
Her
Hero
Hidden Figures
High Fidelity
Home Alone
Hot Fuzz
Hotel Rwanda
