7|Talk-Show|Revenge of the Motorcycle Mama
7|Thriller|Chinatown
7|War|Jibon Theke Neya
7|Western|Los doce malditos
8|Action|Jamadagni
8|Adult|Dresden Diary 3
8|Adventure|Le Clandestin
8|Animation|Grave of the Fireflies
8|Biography|Karolos Koun
8|Comedy|Pas vdekjes
8|Crime|The Untouchable Family
8|Documentary|Svet Koji Nestaje
8|Drama|The Season
8|Family|Le Clandestin
8|Fantasy|Chandon Diper Rajkonna
8|History|Philip Guston: A Life Lived
8|Horror|The Shining
8|Musical|Chithram
8|Music|Juju Music
8|Mystery|Voro-Nova
8|Romance|Isla
8|Sci-Fi|Edgar Allan Poe's Plan 13: The House of Elvis
8|Sport|The Blizzard of AAHHH's
8|Thriller|Cheri and the Pirates
8|War|Vendimi
8|Western|Sadiyata
9|Action|Urban Rangers
9|Adult|Girls Loving Girls
9|Adventure|Holding On
9|Animation|Ramayana: The Legend of Prince Rama
9|Biography|Aenigma est
9|Comedy|The Maltese Phallus
9|Crime|Gini Avi Saha Gini Keli
9|Documentary|I Respond to You, God
9|Drama|The Shawshank Redemption
9|Family|Holding On
9|Fantasy|The Green Mile
9|Game-Show|Schlag dein Tier
9|History|Las dudas de Judas y Maria Magdalena
9|Horror|Johnny in Monsterland
9|Musical|Manichitrathazhu
9|Music|Musicians in Exile
9|Mystery|The Adventure of the Disappearing Divan
9|Romance|Isang tanong, isang sagot
9|Sci-Fi|The Matrix
9|Sport|Occy: The Occumentary
9|Thriller|Upendra
9|War|Aguner Poroshmoni
9|Western|Covenant Rider
