7|Talk-Show|Revenge of the Motorcycle Mama
7|Thriller|Premada Kanike
7|War|Jibon Thekey Neya
7|Western|Los doce malditos
8|Action|Carding Estrabel: Tirador Ng Malabon
8|Adult|Dresden Diary 3
8|Adventure|Le Clandestin
8|Animation|The Overcoat
8|Biography|Karolos Koun
8|Comedy|The Jensens: A Tale of Two Brothers
8|Crime|Plan 15: The Terror of the Time Machine
8|Documentary|Svet Koji Nestaje
8|Drama|Mga agila ng arkong bato
8|Family|Le Clandestin
8|Fantasy|Chandon Diper Rajkonna
8|History|Buamama
8|Horror|Valentina
8|Musical|Chelisuva Modagalu
8|Music|Juju Music
8|Mystery|Anveshane
8|Romance|Isla
8|Sci-Fi|Plan 15: The Terror of the Time Machine
8|Sport|Kamagong
8|Talk-Show|Vincent Price: The Sinister Image
8|Thriller|Cheri and the Pirates
8|War|Tamo Daleko - Prvi Svetski Rat
8|Western|Sadiyata
9|Action|Hangga't may hininga
9|Adult|The Maltese Phallus
9|Adventure|Kapitan Krokus
9|Animation|Ramayana: The Legend of Prince Rama
9|Biography|A Time to Dance: The Life and Work of Norma Canner
9|Comedy|The Maltese Phallus
9|Crime|Om
9|Documentary|From Streets to School
9|Drama|Hangga't may hininga
9|Family|Aahwanam
9|Fantasy|Ang TV Movie: The Adarna Adventure
9|History|Smoke and Mirrors: A History of Denial
9|Horror|Manichithrathazhu
9|Musical|Manichithrathazhu
9|Music|Queen: Champions of the World
9|Mystery|The Adventure of the Disappearing Divan
9|Romance|Gothalo
9|Sci-Fi|The Matrix
9|Sport|Steeper & Deeper
9|Thriller|Upendra
9|War|Miracle in Bosnia
9|Western|Covenant Rider
